"","cont_var1","cont_var2","cont_var3","cont_var4","cont_var5","cont_var6","cont_var7","cat_var1","cat_var2","binary_var"
"1",1.78620625174499,0.255023183645274,-2.09655576187689,-0.473918322742117,0.476370075587823,-0.195286243175951,-0.450580414646474,"A","Y",1
"2",1.28493976075637,1.19190819492203,-1.38254063807203,2.38634180429973,0.302526613446394,-0.0489055085966781,2.46639965647665,"A","Y",0
"3",0.893944506694481,0.172976646943083,1.36216070595287,-0.0902827415185972,-0.592255146031943,-0.433171171707012,-1.11944505227764,"B","X",0
"4",-0.187191431582002,-1.44930067578851,0.558417965364136,0.43178243040269,-0.0536355380131134,-0.0308551325857625,0.00783126851541429,"C","Y",0
"5",0.157832882767018,0.224669959600473,1.62531779181841,1.43427436884839,-0.296008146621649,1.15023986738163,-0.0275854358115976,"C","Y",1
"6",0.0909165381355394,-0.611375942992959,-1.82537391274313,-1.42200942940534,-1.26818164295956,0.0947911606701342,1.02863899980032,"A","Y",0
"7",-1.20080944442148,-1.28151402432734,2.34221375829639,0.102023208989756,-0.364167474809299,-0.855200132807118,0.605754058440376,"A","Y",1
"8",0.168452070668161,-0.285438610498582,-1.3072921234857,0.607118711155151,-0.205893575265744,-0.695982158574551,-1.69956274149947,"A","X",1
"9",0.71987129822402,-2.30889649234518,-0.551884325865667,0.0766853099030996,0.2630929520523,-1.11348292164828,-0.00947220406570649,"A","Y",0
"10",0.315899380117686,0.950735271596329,-0.830844482693386,1.04393097348841,2.47225220159448,1.39969313021656,0.0936797290206173,"B","Y",0
"11",-0.109106202999386,0.4672103154096,-0.17395234302283,-0.0507192559505693,1.29632608709249,-1.78229831903467,-0.752988046559752,"C","Y",0
"12",0.849013844908703,-0.102283061926059,0.615980028123214,-1.09541042450905,-0.809893233037538,0.351444709941642,-0.750782846957609,"B","Y",0
"13",0.381545428470891,0.013623514086007,-0.262023911659283,2.04762888669764,0.206330494442485,-0.764576092984925,-1.22136318022996,"B","X",0
